"time","lambda_p","p_delta"
24.144285273183,0.0666153772933562,0.046427311575788
24.3074223358396,0.0664040924540213,0.0454131956692957
24.4705593984962,0.0662187388555499,0.0469379215202259
24.6336964611529,0.0660369619799563,0.0488128324411455
24.7968335238095,0.0658551851043626,0.050687743362065
24.9599705864662,0.0656734082287689,0.0525626542829845
25.1231076491228,0.0655669128964263,0.0545150251566302
25.2862447117795,0.065473860696807,0.0564812281646912
25.4493817744361,0.0653808084971878,0.0584474311727523
25.6125188370927,0.0652877562975685,0.0604136341808134
25.7756558997494,0.0652181283081392,0.0601052059135431
25.938792962406,0.0651537056987521,0.0592913040295325
26.1019300250627,0.065089283089365,0.058477402145522
26.2650670877193,0.0650248604799779,0.0576635002615114
26.4282041503759,0.0649301073337362,0.0565648110278066
26.5913412130326,0.0648271882737259,0.0553894482768763
26.7544782756892,0.0647242692137157,0.0542140855259461
26.9176153383459,0.0646213501537054,0.0530387227750158
27.0807524010025,0.0644692707736568,0.0510952676400022
27.2438894636592,0.064301460091196,0.048906022942082
27.4070265263158,0.0641336494087351,0.0467167782441617
27.5701635889724,0.0639658387262743,0.0445275335462414
27.7333006516291,0.063717697283863,0.0412111448695906
27.8964377142857,0.0634394318064703,0.0374720772009158
28.0595747769424,0.0631611663290776,0.0337330095322411
28.222711839599,0.0628829008516849,0.0299939418635663
28.3858489022556,0.0625539265549725,0.0283736814891539
28.5489859649123,0.0622029049455125,0.0276746416774642
28.7121230275689,0.0618518833360525,0.0269756018657745
28.8752600902256,0.0615008617265925,0.0262765620540848
29.0383971528822,0.0611288245743701,0.0246878802009497
29.2015342155389,0.0607462796507664,0.0226543773270918
29.3646712781955,0.0603637347271628,0.020620874453234
29.5278083408521,0.0599811898035592,0.0185873715793762
29.6909454035088,0.0595697364392336,0.0167562678436
29.8540824661654,0.059141763965924,0.0150408207581561
30.0172195288221,0.0587137914926145,0.0133253736727123
30.1803565914787,0.0582858190193049,0.0116099265872684
30.3434936541353,0.0578732565123993,0.0119260395508639
30.506630716792,0.0574707104836562,0.0135626665463349
30.6697677794486,0.0570681644549132,0.0151992935418059
30.8329048421053,0.0566656184261701,0.016835920537277
30.9960419047619,0.0562959269618948,0.0175912399028109
31.1591789674186,0.0559504441240695,0.0176971746989175
31.3223160300752,0.0556049612862441,0.0178031094950241
31.4854530927318,0.0552594784484187,0.0179090442911306
31.6485901553885,0.0549564478264216,0.019721184060492
31.8117272180451,0.0546887940509481,0.0229551613075655
31.9748642807018,0.0544211402754747,0.0261891385546391
32.1380013433584,0.0541534865000012,0.0294231158017127
32.301138406015,0.0539349382935594,0.031783178563817
32.4642754686717,0.0537626070932652,0.0333207335753622
32.6274125313283,0.0535902758929709,0.0348582885869072
32.790549593985,0.0534179446926767,0.0363958435984523
32.9536866566416,0.0532520274985646,0.0365637182627376
33.1168237192983,0.053092925186021,0.0352763075580593
33.2799607819549,0.0529338228734774,0.0339888968533811
33.4430978446115,0.0527747205609339,0.0327014861487029
33.6062349072682,0.0526118902650618,0.0321942038779578
33.7693719699248,0.0524445863891956,0.0326230757279323
33.9325090325815,0.0522772825133294,0.0330519475779069
34.0956460952381,0.0521099786374632,0.0334808194278814
34.2587831578947,0.0519259999590953,0.0323172291820642
34.4219202205514,0.0517193911916179,0.0289924403776724
34.585057283208,0.0515127824241406,0.0256676515732808
34.7481943458647,0.0513061736566632,0.022342862768889
34.9113314085213,0.0510793415595729,0.0201396744362716
35.074468471178,0.0508213966476936,0.0196620252909995
35.2376055338346,0.0505634517358142,0.0191843761457274
35.4007425964912,0.0503055068239348,0.0187067270004553
35.5638796591479,0.0500560111182985,0.0188153553716187
35.7270167218045,0.0498213015235877,0.0199499693965443
35.8901537844612,0.049586591928877,0.0210845834214699
36.0532908471178,0.0493518823341662,0.0222191974463955
36.2164279097744,0.0491295516139792,0.0231410676302038
36.3795649724311,0.0489319786428399,0.0236374501317779
36.5427020350877,0.0487344056717006,0.0241338326333519
36.7058390977444,0.0485368327005614,0.0246302151349259
36.868976160401,0.0483468014484082,0.0251290227655536
37.0321132230576,0.0481741161499233,0.0256334081930048
37.1952502857143,0.0480014308514384,0.0261377936204561
37.3583873483709,0.0478287455529535,0.0266421790479073
37.5215244110276,0.0476648889583352,0.0273130117989718
37.6846614736842,0.0475245755740279,0.0284277040796718
37.8477985363409,0.0473842621897205,0.0295423963603719
38.0109355989975,0.0472439488054132,0.0306570886410718
38.1740726616541,0.0471139279073481,0.0318253776334687
38.3372097243108,0.0470160710287904,0.0331611563499182
38.5003467869674,0.0469182141502326,0.0344969350663677
38.6634838496241,0.0468203572716749,0.0358327137828172
38.8266209122807,0.0467272957719806,0.0368619827952501
38.9897579749373,0.0466520456794937,0.0367527871927644
39.152895037594,0.0465767955870067,0.0366435915902787
