intervals,relative_tolerance_eta_over_cdelta,single_draw_probability,samples_for_95pct
16,0.06902381761216662,1.2687148400412126e-32,236123372960363366637350823133184
16,0.0728941832623359,3.037151073272465e-32,98636261459531302267100720005120
16,0.07698157154011726,7.270575192121503e-32,41203511337042597127069276045312
16,0.08129815153369328,1.7404884495039638e-31,17212020421093679155989270495232
16,0.08585677468731615,4.166520478516347e-31,7190009719142764686862071103488
16,0.09067101306299151,9.974150016820565e-31,3003496306454123549938182782976
16,0.09575519974760624,2.3876918179331124e-30,1254656170890271520828302557184
16,0.1011244715258005,5.715847674047761e-30,524109886125170047849922035712
16,0.10679481394563199,1.368305339388338e-29,218937410190414597399441833984
16,0.11278310891120247,3.2755587772211534e-29,91457136852095920422690750464
16,0.11910718494394099,7.841294624945892e-29,38204562088810198735154839552
16,0.12578587026218296,1.877111832728814e-28,15959263701401337168268361728
16,0.1328390488370752,4.493580462288574e-28,6666693294345213012166574080
16,0.14028771959169817,1.0757092368709576e-27,2784890350359015020484886528
16,0.14815405891965475,2.575118821173089e-27,1163337492981893389227130880
16,0.15646148670925752,6.164525427381229e-27,485963162751786375083720704
16,0.16523473606988384,1.4757134091202195e-26,203002307564580889318916096
16,0.17449992696808966,3.532680806513187e-26,84800536409368558617755648
16,0.18428464399271416,8.456813906805128e-26,35423887844373030403833856
16,0.19461801848049895,2.0244597621861425e-25,14797687410289669750915072
16,0.20553081524672945,4.846313722728149e-25,6181465841768893469687808
16,0.21705552417911414,1.1601493463984956e-24,2582195372392165085806592
16,0.22922645696759922,2.777258310036073e-24,1078665337944412946169856
16,0.24207984925810364,6.648423105705104e-24,450592903899769934446592
16,0.25565396853431077,1.591552706233475e-23,188227022694310148571136
16,0.2699892280487055,3.809986182355755e-23,78628428822849347649536
16,0.28512830714205367,9.120649698177362e-23,32845601713577999204352
16,0.3011162783095453,2.1833740841922937e-22,13720655087202868396032
16,0.3180007413919038,5.226735538889491e-22,5731555100242329206784
16,0.33583196529098075,1.251217763885692e-21,2394253310671245017088
16,0.354663037631754,2.99526517271568e-21,1000155946405869125632
16,0.3745500228163098,7.170305372760967e-21,417797027855239872512
16,0.395552128940368,1.716485058050149e-20,174527139604524695552
16,0.4177318840693031,4.109059239934345e-20,72905550848224231424
16,0.4411553223984712,9.836594707366532e-20,30454973114938998784
16,0.4658921808520874,2.354762727600307e-19,12722013298583517184
16,0.4920161067059732,5.637019383489645e-19,5314390584372013056
16,0.5196048768523113,1.3494347926179515e-18,2219990391489879040
16,0.5487406293592132,3.230384952837539e-18,927360768852816640
16,0.579510108014503,7.733153910515516e-18,387388161184843776
16,0.612004920581779,1.8512242434509745e-17,161824386437888896
16,0.646321811537645,4.4316086802314954e-17,67599205835058096
16,0.6825629501021042,1.0608739359469832e-16,28238343615067384
16,0.7208362344196575,2.539604891090817e-16,11796056481318460
16,0.7612556127967154,6.07950934065994e-16,4927588898529100
16,0.8039414229517254,1.4553615782058303e-15,2058410994501536
16,0.8490207502880348,3.483960965652272e-15,859863902922093
16,0.8966278062561555,8.340184454472427e-15,359192568210829
16,0.9469043279318956,1.9965400709247037e-14,150046188262402
16,1.0,4.779477332387385e-14,62679076920270
